vault with exactly 2,3,4 failures

+--------------------------+--------+-------+-----+
|date                      |vault_id|failure|count|
+--------------------------+--------+-------+-----+
|2023-04-04T00:00:00.000000|1066    |1      |2    |
|2023-04-04T00:00:00.000000|1113    |1      |3    |
|2023-04-05T00:00:00.000000|1014    |1      |2    |
|2023-04-05T00:00:00.000000|1044    |1      |2    |
|2023-04-05T00:00:00.000000|1041    |1      |2    |
|2023-04-05T00:00:00.000000|1010    |1      |2    |
|2023-04-05T00:00:00.000000|1032    |1      |3    |
|2023-04-05T00:00:00.000000|1093    |1      |3    |
|2023-04-07T00:00:00.000000|1033    |1      |2    |
|2023-04-07T00:00:00.000000|1133    |1      |2    |
|2023-04-08T00:00:00.000000|1124    |1      |2    |
|2023-04-08T00:00:00.000000|1400    |1      |2    |
|2023-04-11T00:00:00.000000|1090    |1      |3    |
|2023-04-11T00:00:00.000000|1092    |1      |2    |
|2023-04-11T00:00:00.000000|1093    |1      |2    |
|2023-04-11T00:00:00.000000|1036    |1      |2    |
|2023-04-11T00:00:00.000000|1040    |1      |3    |
|2023-04-12T00:00:00.000000|1096    |1      |2    |
|2023-04-12T00:00:00.000000|1113    |1      |3    |
|2023-04-14T00:00:00.000000|1124    |1      |2    |
|2023-04-14T00:00:00.000000|1120    |1      |4    |
|2023-04-14T00:00:00.000000|1128    |1      |2    |
|2023-04-14T00:00:00.000000|1161    |1      |2    |
|2023-04-15T00:00:00.000000|1113    |1      |2    |
|2023-04-15T00:00:00.000000|1118    |1      |2    |
|2023-04-17T00:00:00.000000|1053    |1      |2    |
|2023-04-17T00:00:00.000000|1113    |1      |2    |
|2023-04-17T00:00:00.000000|1066    |1      |2    |
|2023-04-18T00:00:00.000000|1033    |1      |2    |
|2023-04-18T00:00:00.000000|1113    |1      |2    |
|2023-04-18T00:00:00.000000|1118    |1      |2    |
|2023-04-19T00:00:00.000000|1091    |1      |2    |
|2023-04-20T00:00:00.000000|1132    |1      |2    |
|2023-04-20T00:00:00.000000|1113    |1      |2    |
|2023-04-21T00:00:00.000000|1127    |1      |2    |
+--------------------------+--------+-------+-----+
